Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,FraudFound_P
Oct,5,Friday,Pontiac,Rural,Friday,Oct,5,Male,Single,27,Third Party,Sedan - Collision,Sedan,more than 69000,8199,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,19148.91,
Aug,3,Monday,Pontiac,Urban,Tuesday,Aug,3,Male,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8207,2,400,4,more than 30,more than 30,1,5 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,66788.49,
Jun,3,Tuesday,Accura,Rural,Tuesday,Oct,1,Male,Married,68,Policy Holder,Sedan - All Perils,Sedan,more than 69000,8208,8,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,3495.2,
Dec,4,Wednesday,Pontiac,Urban,Wednesday,Dec,4,Male,Single,52,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8216,10,700,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,8596.33,
Oct,3,Sunday,Pontiac,Urban,Wednesday,Oct,3,Female,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8218,4,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,9373.6,
May,1,Wednesday,Pontiac,Urban,Friday,May,3,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8227,11,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,57883.51,
Aug,1,Wednesday,Toyota,Urban,Thursday,Aug,1,Male,Married,55,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8228,13,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,71739.57,
Jul,4,Sunday,Honda,Urban,Monday,Jul,4,Female,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8229,11,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,52239.23,
Oct,1,Thursday,Toyota,Urban,Friday,Oct,2,Female,Single,42,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8230,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,14818.86,
Sep,3,Thursday,Toyota,Urban,Friday,Sep,3,Female,Single,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,8231,16,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,66433.57,
Nov,4,Tuesday,Honda,Urban,Friday,Nov,4,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8232,13,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,2955.21,
May,4,Tuesday,Toyota,Urban,Friday,Sep,4,Male,Married,60,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8234,4,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,6329.24,
Sep,3,Sunday,Pontiac,Urban,Thursday,Sep,4,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8235,4,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,2635.91,
Oct,2,Tuesday,Ford,Urban,Monday,Oct,3,Male,Married,37,Third Party,Sedan - All Perils,Sedan,less than 20000,8237,14,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,4466.74,
Dec,3,Monday,Honda,Urban,Wednesday,Dec,3,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,8239,6,400,3,more than 30,more than 30,none,more than 7,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1995,Collision,12707.97,
Aug,1,Friday,Pontiac,Urban,Wednesday,Aug,4,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8243,2,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,5234.5,
Mar,3,Wednesday,Mazda,Urban,Monday,May,4,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8247,12,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,7402.24,
Jul,4,Saturday,Toyota,Urban,Wednesday,Jul,4,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8258,11,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,2839.47,
Jul,3,Tuesday,Honda,Urban,Wednesday,Jul,3,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8269,15,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,2559.76,
Dec,2,Monday,Toyota,Urban,Thursday,Dec,5,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,more than 69000,8270,2,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,Internal,none,no change,1 vehicle,1995,Collision,3759.55,
Sep,1,Monday,Chevrolet,Rural,Thursday,Sep,3,Male,Single,56,Policy Holder,Utility - Collision,Utility,more than 69000,8272,11,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,52881.39,
Apr,2,Sunday,Honda,Urban,Wednesday,Apr,2,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,more than 69000,8273,13,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,2958.76,
Sep,1,Monday,VW,Urban,Tuesday,Sep,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,8275,13,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision,16264.38,
Sep,3,Tuesday,Saab,Urban,Tuesday,Sep,3,Male,Single,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8278,14,700,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,4863.84,
Sep,3,Thursday,Toyota,Rural,Monday,Sep,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8279,9,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,2835.37,
Oct,2,Tuesday,Mazda,Urban,Thursday,Oct,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8285,12,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,9181.41,
Sep,3,Friday,Pontiac,Urban,Tuesday,Sep,3,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8296,4,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils,4685.75,
Nov,4,Friday,VW,Urban,Tuesday,Nov,5,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,8303,10,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,51513.05,
Sep,3,Saturday,Accura,Rural,Thursday,Oct,1,Male,Single,33,Policy Holder,Utility - All Perils,Utility,more than 69000,8305,6,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,8402.19,
May,3,Friday,Pontiac,Urban,Monday,May,4,Female,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8307,5,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,6772.89,
Nov,5,Wednesday,Pontiac,Urban,Wednesday,Nov,5,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8311,15,400,2,more than 30,more than 30,1,4 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,2849.25,
Nov,4,Wednesday,Toyota,Urban,Monday,Nov,5,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8313,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,7488.77,
Sep,2,Saturday,Mazda,Urban,Friday,Sep,5,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8317,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision,1275.43,
Oct,1,Monday,Honda,Urban,Tuesday,Oct,1,Male,Single,26,Third Party,Sedan - Liability,Sport,30000 to 39000,8327,14,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,51274.39,
Jul,3,Wednesday,Pontiac,Urban,Friday,Sep,1,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8328,11,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,76007.35,
Oct,1,Friday,Honda,Urban,Friday,Oct,1,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8329,3,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,2401.99,
Apr,3,Tuesday,Toyota,Rural,Tuesday,Apr,4,Male,Married,27,Third Party,Sedan - All Perils,Sedan,less than 20000,8332,3,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,29141.4,
Nov,4,Thursday,Pontiac,Urban,Tuesday,Nov,5,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8333,5,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,50956.51,
Apr,4,Saturday,Toyota,Urban,Tuesday,May,4,Male,Married,52,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8341,6,400,4,more than 30,more than 30,none,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,1575.01,
Sep,4,Saturday,Honda,Urban,Monday,Sep,4,Female,Single,22,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8346,10,400,2,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,6197.1,
Nov,2,Thursday,Dodge,Urban,Thursday,Nov,3,Male,Married,79,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8349,3,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,8305.95,
Jul,1,Wednesday,Mazda,Urban,Wednesday,Jul,2,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8358,1,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,6589.27,
Oct,5,Friday,Pontiac,Urban,Friday,Nov,4,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,8362,2,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,2056.43,
Dec,1,Saturday,Toyota,Urban,Monday,Dec,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8363,14,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,56242.24,
Aug,5,Tuesday,Pontiac,Urban,Wednesday,Aug,5,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8364,15,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,914.66,
May,4,Wednesday,VW,Urban,Wednesday,May,5,Male,Married,64,Policy Holder,Sedan - Liability,Sport,60000 to 69000,8368,4,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,1995,Liability,22049.58,
Jun,5,Wednesday,Pontiac,Urban,Friday,Jul,2,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8369,2,400,3,8 to 15,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,4577.02,
Mar,5,Wednesday,Ford,Urban,Friday,Mar,5,Female,Married,38,Third Party,Sedan - Liability,Sport,60000 to 69000,8370,5,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,5320.35,
Sep,4,Wednesday,Pontiac,Urban,Monday,Oct,1,Female,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8372,14,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,7866.14,
Oct,5,Monday,Honda,Urban,Monday,Oct,5,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8382,15,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,16690.13,
Jan,3,Friday,Chevrolet,Urban,Monday,Jan,4,Male,Married,40,Third Party,Sedan - Collision,Sedan,more than 69000,8385,14,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,10113.48,
Sep,4,Monday,Toyota,Urban,Monday,Oct,1,Male,Single,35,Third Party,Sedan - Liability,Sport,20000 to 29000,8389,14,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,1790.18,
Oct,1,Sunday,Pontiac,Urban,Monday,Oct,1,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8394,16,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,1242.26,
Jun,2,Thursday,Pontiac,Urban,Sunday,Jun,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,8397,13,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,10658.89,
Jan,3,Friday,Dodge,Urban,Tuesday,Jan,4,Male,Single,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,8403,6,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,4655.15,
May,3,Monday,Accura,Urban,Thursday,May,3,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,more than 69000,8412,5,400,2,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,1339.49,
Mar,3,Tuesday,Pontiac,Urban,Wednesday,Jun,3,Female,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8413,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,18603.41,
Mar,5,Wednesday,Toyota,Urban,Thursday,Nov,3,Female,Married,36,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8414,1,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,4294.46,
Oct,3,Tuesday,Mazda,Urban,Tuesday,Oct,3,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8415,7,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,53822.59,
Apr,2,Sunday,Mazda,Urban,Thursday,Jun,2,Male,Single,23,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8418,13,400,2,more than 30,more than 30,1,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,6992.82,
Jul,3,Friday,Accura,Urban,Thursday,Jul,4,Female,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8419,13,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,68404.33,
Jul,1,Sunday,Honda,Urban,Wednesday,Jul,1,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8420,6,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,4079.32,
Jan,5,Saturday,Toyota,Urban,Thursday,Feb,1,Male,Single,31,Policy Holder,Sedan - Liability,Sport,more than 69000,8423,3,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,5703.5,
Oct,1,Tuesday,Chevrolet,Urban,Monday,Oct,2,Male,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,8427,4,400,1,more than 30,more than 30,1,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,14225.3,
Oct,5,Sunday,Toyota,Rural,Thursday,Nov,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,more than 69000,8430,13,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,16029.73,
Nov,5,Wednesday,Pontiac,Urban,Monday,Jan,5,Male,Married,56,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8431,7,400,3,more than 30,more than 30,1,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,1448.9,
Jan,4,Tuesday,Honda,Urban,Tuesday,Jan,4,Female,Widow,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8432,6,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,3809.97,
Apr,5,Saturday,Accura,Rural,Wednesday,May,1,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,8433,3,700,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,34662.28,
Jul,5,Saturday,Toyota,Urban,Thursday,Aug,3,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8441,15,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,71711.54,
Jan,1,Friday,Honda,Urban,Tuesday,Jan,4,Male,Married,52,Policy Holder,Sport - Collision,Sport,more than 69000,8451,8,400,4,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,61009.64,
Dec,2,Wednesday,Toyota,Urban,Monday,Dec,2,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,8454,15,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,54668.37,
Oct,2,Wednesday,Mazda,Urban,Friday,Oct,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8455,4,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,2727.6,
Jun,1,Wednesday,Chevrolet,Urban,Monday,Jun,1,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8458,14,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,46699.68,
May,4,Friday,Mazda,Urban,Thursday,Jun,1,Female,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,8463,12,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,5054.57,
Dec,4,Friday,Honda,Urban,Friday,Dec,4,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8465,1,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,4443.26,
Oct,2,Wednesday,Saturn,Urban,Tuesday,Oct,3,Male,Married,49,Policy Holder,Sedan - Liability,Sport,60000 to 69000,8476,8,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,3415.07,
Oct,2,Wednesday,Honda,Urban,Friday,Oct,2,Female,Married,40,Policy Holder,Sedan - Liability,Sport,less than 20000,8477,7,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,4754.73,
Oct,3,Thursday,Pontiac,Urban,Monday,Oct,5,Male,Single,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8480,14,400,4,more than 30,more than 30,1,7 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,1995,Liability,902.37,
Dec,2,Friday,Honda,Urban,Monday,Jan,3,Male,Single,22,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8487,11,400,3,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,53394.04,
Feb,4,Saturday,Chevrolet,Rural,Wednesday,Mar,1,Male,Single,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8501,11,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,60963.1,
Aug,3,Friday,Toyota,Urban,Monday,Aug,4,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,8504,2,400,1,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,60909.63,
Dec,5,Wednesday,Mazda,Urban,Wednesday,Jan,1,Male,Married,43,Third Party,Sport - Collision,Sport,more than 69000,8505,16,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,75436.37,
Dec,2,Saturday,Honda,Urban,Tuesday,Dec,3,Male,Married,51,Policy Holder,Sport - Collision,Sport,more than 69000,8512,13,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,2171.24,
Oct,5,Friday,Toyota,Urban,Monday,Oct,5,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8514,1,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,6611.61,
May,1,Tuesday,Toyota,Urban,Wednesday,May,1,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8516,8,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,55531.77,
Apr,4,Friday,Honda,Urban,Wednesday,May,1,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8517,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,1377.21,
Apr,3,Saturday,Chevrolet,Urban,Monday,Apr,3,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8518,6,500,1,15 to 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1995,Collision,7264.14,
Jun,3,Saturday,Toyota,Urban,Monday,Jun,3,Male,Married,59,Third Party,Sedan - Liability,Sport,20000 to 29000,8520,16,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,1825.82,
Aug,2,Thursday,Pontiac,Urban,Friday,Sep,1,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8530,3,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,81749.88,
Nov,3,Sunday,Chevrolet,Rural,Friday,Nov,4,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8535,6,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,6673.85,
Sep,1,Friday,Mazda,Urban,Wednesday,Sep,2,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8540,5,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,641.64,
Sep,4,Saturday,Mazda,Urban,Tuesday,Sep,4,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,8541,13,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,92823.94,
Dec,2,Monday,Accura,Urban,Friday,Jan,4,Male,Single,39,Policy Holder,Utility - All Perils,Utility,more than 69000,8543,5,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,64843.07,
Feb,4,Saturday,Toyota,Urban,Wednesday,Mar,1,Male,Married,28,Third Party,Sedan - All Perils,Sedan,less than 20000,8545,2,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,8633.63,
Aug,1,Friday,Mazda,Urban,Wednesday,Aug,2,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8550,5,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,2651.99,
Jan,4,Monday,Pontiac,Urban,Monday,Jan,4,Female,Married,40,Third Party,Sedan - Liability,Sport,20000 to 29000,8556,4,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,4223.67,
Sep,1,Tuesday,Pontiac,Urban,Tuesday,Sep,2,Male,Married,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,8557,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,6859.36,
May,5,Monday,Mazda,Urban,Wednesday,Jun,2,Female,Married,22,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8561,9,400,4,8 to 15,15 to 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,3793.02,
Jan,3,Saturday,Pontiac,Urban,Thursday,Jan,3,Female,Single,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8566,11,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,17611.88,
Dec,2,Tuesday,Mazda,Urban,Wednesday,Dec,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8568,8,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,64579.36,
Dec,2,Tuesday,Pontiac,Urban,Thursday,Dec,3,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,8573,5,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,2345.66,
Jul,1,Saturday,Pontiac,Urban,Wednesday,Jan,2,Female,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8581,10,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,8904.48,
Apr,5,Friday,Pontiac,Rural,Wednesday,May,4,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,less than 20000,8589,4,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,1294.84,
